"text","label"
"To screen invertebrate tissues for the possible expression of intermediate filaments (IFs), immunofluorescence microscopy with the monoclonal antibody anti-IFA known to detect all mammalian IF proteins was used (Pruss, R. M., R. Mirsky, M. C. Raff, R. Thorpe, A. J. Dowding, and B. H. Anderton. 1981. Cell, 27:419-428). In a limited survey, the lower chordate Branchiostoma as well as the invertebrates Arenicola, Lumbricus, Ascaris, and Helix pomatia revealed a positive reaction primarily on epithelia and on nerves, whereas certain other invertebrates appeared negative. To assess the nature of the positive reaction, Helix pomatia was used since a variety of epithelia was strongly stained by anti-IFA. Fixation-extraction procedures were developed that preserve in electron micrographs of esophagus impressive arrays of IFs as tonofilament bundles. Fractionation procedures performed on single cell preparations document large meshworks of long and curvilinear IF by negative stain. These structures can be purified. One- and two-dimensional gels show three components, all of which are recognized by anti-IFA in immunoblotting: 66 kD/pl 6.35, 53 kD/pl 6.05, and 52 kD/pl 5.95. The molar ratio between the larger and more basic polypeptide and the sum of the two more acidic forms is close to 1. After solubilization in 8.5 M urea, in vitro filament reconstitution is induced when urea is removed by dialysis against 2-50 mM Tris buffer at pH 7.8. The reconstituted filaments contain all three polypeptides. The results establish firmly the existence of invertebrate IFs outside neurones and demonstrate that the esophagus of Helix pomatia displays IFs which in line with the epithelial morphology of the tissue could be related to keratin IF of vertebrates.","1"
"The addition of certain proteases to cultures of Friend virus-infected mouse erythroleukemia cells can induce up to 90% of the cells in culture to become hemoglobin-containing, as assessed by positive staining for benzidine (B+). Because the mechanism of this protease action is unknown, media components were studied as possible targets for protease activity. Aliquots of medium plus serum were incubated for various times with levels of protease sufficient to induce approximately 50% of the cells to the B+ state. Cells were added to protease-pretreated serum either before or after inactivation of the protease. In all cases, enzymatically active protease had to be present with the cells to induce B+ cells to form. Serum and other components of the medium pretreated with protease were inactive. Mouse erythroleukemia cells grown in the absence of serum were also induced by proteases to form B+ cells. These data imply that the inducing action of proteases cannot be passively transferred by protease-pretreated serum or medium nor is serum required for protease-mediated induction of B+ cells. Taken together, these conclusions suggest that the protease action is on the cells or on cellular products intimately associated with cells.","1"
"This study evaluated various techniques for forming ceramic margins on metal-ceramic restorations. Marginal openings were measured using a scanning electron microscope on replicas derived from elastomeric impressions. Ceramic margins formed with a platinum foil backing showed significantly better fit than those formed with direct-lift techniques. With the platinum foil method these ceramic margins displayed a marginal fit comparable to that obtained with cast metal margins.","1"
"This study was designed to evaluate the potential for regeneration of a new attachment (alveolar bone, cementum and a functional periodontal ligament) in patients whose attachment apparatus had been destroyed by periodontal disease. In each of the three parts of the investigation, the most apical level of calculus on the root served as a histologic reference point to measure regeneration. In Part I, attempts were made to initiate the formation of a new attachment by surgical debridement, crown removal (coronectomy) and submersion of the vital root below the mucosa. Nonsubmerged, surgically debrided defects served as controls. In Part II, debrided intrabony defects were treated with and without demineralized freeze-dried bone allograft and the associated vital roots were submerged. Part III evaluated potential for regeneration of a new attachment in nonsubmerged roots with and without the use of demineralized freeze-dried bone allograft. Gingival grafts were placed over the experimental and control sites in an attempt to retard epithelial migration. Biopsies were obtained in 6 months and regeneration was evaluated histometrically. Preliminary results in 7 patients and 24 intrabony defects indicate that new attachment is possible on pathologically exposed root surfaces in a submerged environment with and without the incorporation of demineralized freeze-dried bone allografts. New attachment was observed on pathologically exposed root surfaces in a nonsubmerged environment when intrabony defects were grafted with demineralized freeze-dried bone allograft. New attachment was not observed on nongrafted, nonsubmerged, defects with and without the placement of gingival grafts over the defects.","1"
"The bare lymphocyte syndrome is a disorder in which class I histocompatibility antigens fail to be expressed normally on the surface of lymphocytes. Utilizing complementary DNA probes for both beta 2-microglobulin and class I genes, the molecular basis for this syndrome was investigated in a family with two siblings exhibiting the bare lymphocyte syndrome. Southern blot analysis demonstrated no gross internal defect in either class I or beta 2-microglobulin genes. Northern blot analysis of class I and beta 2-microglobulin messenger RNAs also revealed no qualitative difference between affected and unaffected family members. In contrast, quantitation of both class I and beta 2-microglobulin transcripts demonstrated each to be decreased in patients when compared to controls. Moreover, the decrease in both transcripts was coordinate. These results suggest that the bare lymphocyte syndrome may represent a pretranslational regulatory defect of both class I and beta 2-microglobulin gene expression.","1"
"Someone played to the supermarket last night and it took forever.","0"
"Someone played to a cafe after class and it took forever.","0"
"Immunoglobulin M (IgM) antibodies directed against IgG antibodies (rheumatoid factor [RF]) are known to occur often in patients with syphilis and to interfere with serological tests measuring specific antibodies of the IgM class. In this study we examined the occurrence and specificity of the RF and demonstrated a simple method to detect and eliminate the RF for a specific Treponema pallidum IgM enzyme-linked immunosorbent assay. We measured the occurrence of the RF with a sensitive enzyme-linked immunosorbent assay and found that it increased with the duration of syphilitic disease: 1 of 13 primary syphilis serum specimens, 3 of 13 secondary syphilis serum specimens, and 10 of 27 latent syphilis serum specimens were reactive in this RF test. Those sera containing IgM RF were immunoprecipitated with anti-human gamma chain antibodies and 2% polyethylene glycol until the RF was removed. One serum specimen from a patient in the secondary stage of syphilis and eight serum specimens from patients with latent disease still presented the RF after immunoprecipitation. Removal of the IgG antibodies also improved the sensitivity of the treponemal IgM test, indicating competition of these antibodies for binding sites of the antigen. The enzyme-linked immunosorbent assays for detection of RF and antitreponemal IgM antibodies are performed on the same plate. Theoretically, only sera positive for both tests have to be immunoprecipitated. But our findings indicated an increase in sensitivity of the IgM enzyme-linked immunosorbent assay after removal of IgG antibodies responsible for competition at the binding sites.","1"
"We have examined the relationship between insulin-induced receptor downregulation and the induction of a postreceptor defect in the insulin-stimulated glucose transport system in rat adipocytes, and found that downregulation was linked to the expression of the postreceptor defect. When recycling of insulin receptors was inhibited by 20 mM Tris, insulin pretreatment (100 ng/ml) for 4 h at 37 degrees C induced both net loss (65%) of cell-surface receptors and a 63% decrease in maximal insulin responsiveness. In contrast, when cells were treated with insulin alone for 4 h at 37 degrees C so that receptors could recycle, or treated at 16 degrees C with Tris plus insulin to inhibit receptor internalization, neither receptor downregulation nor a postreceptor defect was observed. Induction of the postreceptor defect was specific for insulin under conditions when downregulation would occur, since treatment of cells with Tris and the insulin mimicker spermine did not result in receptor loss or the postreceptor defect. Other experiments revealed that receptor downregulation occurred first without loss of insulin responsiveness, but, once the postreceptor defect appeared, its severity was correlated to the degree of further receptor loss, as a function of insulin dose and exposure time. Tris (20 mM) alone acutely decreased maximally stimulated glucose transport rates slightly (22%), but this effect was rapidly reversible after Tris removal and could not have been directly responsible for the lasting and profound postreceptor defect seen after pretreatment with insulin plus Tris. Taken together, these data suggest that insulin-induced receptor loss is linked to the induction of the postreceptor defect. The postreceptor defect was due to an inability to maximally increase the maximum velocity of glucose transport. Furthermore, the expression of the postreceptor defect depended upon the extent to which the glucose transport system was allowed to deactivate; maintaining the glucose transport system in an activated state prevented its expression. Thus, the mechanism could involve rapid inactivation or sequestration of glucose transporters during deactivation such that they become refractory to the subsequent stimulatory effects of insulin. In conclusion, (a) insulin does not acutely induce a postreceptor defect in the glucose transport system of adipocytes without loss of cell-surface insulin receptors; (b) the defect in stimulated glucose transport has been induced distal to the insulin receptor via a mechanism linked to receptor loss; and (c) the postreceptor lesion is due to decreased number of intrinsic activity of glucose transporters on the cell-surface in the presence of a maximally effective insulin concentration. These data suggest that insulin receptor downregulation and postreceptor defects in insulin action, which frequently co-exist both in vivo and in vitro, may be linked mechanistically.","1"
"They texted to the supermarket on the weekend and then I took a nap.","0"
